Collection_ID,Color_Name,Color_Code,Image_URL,preview_image_url,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,grey,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_8_grey.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,charcoal,9,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_9_charbon.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,tobacco,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_10_tabac.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,black,11,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_11_black.png?v=1780587096,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_1_blanc.png?v=1780587093,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,almond,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_02_amande.png?v=1780587091,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,beige,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_3_beige.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,granite,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_4_granite.png?v=1780587094,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,snow white,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_6_blanc-noire.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,sand,7,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_7_sable.png?v=1780587095,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,grey,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_8_grey.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,charcoal,9,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_9_charbon.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,tobacco,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_10_tabac.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic3,black,11,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_11_black.png?v=1780587096,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_1_blanc.png?v=1780587093,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,almond,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_02_amande.png?v=1780587091,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,beige,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_3_beige.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,granite,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_4_granite.png?v=1780587094,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,snow white,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_6_blanc-noire.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,sand,7,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_7_sable.png?v=1780587095,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,grey,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_8_grey.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,charcoal,9,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_9_charbon.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,tobacco,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_10_tabac.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic5,black,11,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_11_black.png?v=1780587096,,,,,,,,,,,,,,,,,,,,,,
zebra-classique,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/classique_1.png?v=1780585892,,,,,,,,,,,,,,,,,,,,,,
zebra-classique,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/classique_ivoire.png?v=1780585893,,,,,,,,,,,,,,,,,,,,,,
zebra-classique,beige,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/classique_beige.png?v=1780585893,,,,,,,,,,,,,,,,,,,,,,
zebra-classique,grey,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/classique_grey.png?v=1780585893,,,,,,,,,,,,,,,,,,,,,,
zebra-classique,black,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/classique_black.png?v=1780585893,,,,,,,,,,,,,,,,,,,,,,
zebra-nocturnxl,super white,100,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nocturnxl_superblanc.png?v=1780586036,,,,,,,,,,,,,,,,,,,,,,
zebra-nocturnxl,grey,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nocturnxl_gris.png?v=1780586036,,,,,,,,,,,,,,,,,,,,,,
zebra-nocturnxl,black,13,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nocturnxl_noire.png?v=1780586037,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,beige,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_beige.png?v=1780585956,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,ivory,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_ivoire.png?v=1780585956,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,white,7,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_blanc.png?v=1780585956,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,off white,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_blanc_doux.png?v=1780585956,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,grey,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_gris_argent.png?v=1780585957,,,,,,,,,,,,,,,,,,,,,,
zebra-opal,black,19,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/opal_noire.png?v=1780585957,,,,,,,,,,,,,,,,,,,,,,
sheer-illusion,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_1_blanc.png?v=1780687482,,,,,,,,,,,,,,,,,,,,,,
sheer-illusion,beige,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_2_beige.png?v=1780687483,,,,,,,,,,,,,,,,,,,,,,
sheer-illusion,grey,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_3_gris.png?v=1780687482,,,,,,,,,,,,,,,,,,,,,,
sheer-illusionbo,grey,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_BO_-_grey_03.png?v=1780687521,,,,,,,,,,,,,,,,,,,,,,
sheer-illusionbo,sand,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_BO_-_sable_04.png?v=1780687521,,,,,,,,,,,,,,,,,,,,,,
sheer-illusionbo,beige,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/illusionxl_BO_-_beige_02.png?v=1780687521,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
