#GROUP:PG1,,,,,,,,,,,,,,,,,,,,,,,,,
144,431,493,554,615,677,738,800,861,923,984,1046,1107,1169,1230,1292,1353,1414,1476,1537,1599,1660,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:classiquelf,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,,,,,,,,,
24,299,319,338,358,378,397,417,437,457,476,496,516,535,555,575,595,,,,,,,,,
30,303,324,344,365,386,407,427,448,469,489,510,531,552,572,593,614,,,,,,,,,
36,307,329,350,372,394,416,437,459,481,502,524,546,568,589,611,633,,,,,,,,,
42,311,334,357,380,402,425,448,471,493,516,539,562,584,607,630,653,,,,,,,,,
48,316,339,363,387,410,434,458,482,505,529,553,577,600,624,648,672,,,,,,,,,
54,320,344,369,394,419,443,468,493,518,542,567,592,617,641,666,691,,,,,,,,,
60,324,350,376,401,427,453,479,504,530,556,582,607,633,659,685,710,,,,,,,,,
66,328,355,382,408,435,462,489,515,542,569,596,623,649,676,703,730,,,,,,,,,
72,333,360,388,416,444,471,499,527,555,583,610,638,666,694,721,749,,,,,,,,,
78,337,366,395,424,452,481,510,539,567,596,625,654,683,711,740,769,,,,,,,,,
84,341,371,401,431,460,490,520,550,580,609,639,669,699,729,758,788,,,,,,,,,
90,346,377,407,438,469,500,531,561,592,623,654,685,715,746,777,808,,,,,,,,,
96,350,382,413,445,477,509,541,573,604,636,668,700,732,763,795,827,,,,,,,,,
102,354,387,420,452,485,518,551,584,616,649,682,715,748,780,813,846,,,,,,,,,
108,359,392,426,460,494,528,561,595,629,663,697,731,764,798,832,866,,,,,,,,,
114,363,397,432,467,502,537,572,606,641,676,711,746,781,815,850,885,,,,,,,,,
120,367,402,438,474,510,546,582,617,653,689,725,761,797,833,868,904,,,,,,,,,
126,371,408,445,482,519,556,593,629,666,703,740,777,814,850,887,924,,,,,,,,,
132,375,413,451,489,527,565,603,640,678,716,754,792,830,868,905,943,,,,,,,,,
138,380,418,457,496,535,574,613,652,690,729,768,807,846,885,924,962,,,,,,,,,
144,384,423,463,503,543,583,623,663,703,742,782,822,862,902,942,982,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:nocturnxl,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,,,,,,,,,
24,301,322,342,362,383,403,423,444,464,484,505,525,545,566,586,607,,,,,,,,,
30,306,327,349,370,392,413,435,456,478,499,521,542,564,585,607,628,,,,,,,,,
36,310,333,356,378,401,424,446,469,491,514,537,559,582,604,627,650,,,,,,,,,
42,316,339,363,387,410,434,458,482,505,529,553,577,600,624,648,672,,,,,,,,,
48,320,345,370,395,420,444,469,494,519,544,569,594,619,643,668,693,,,,,,,,,
54,325,351,377,403,429,455,481,507,533,559,585,611,637,663,689,715,,,,,,,,,
60,330,357,384,411,438,465,493,520,547,574,601,628,655,683,710,737,,,,,,,,,
66,334,362,391,419,447,476,504,532,560,589,617,645,674,702,730,758,,,,,,,,,
72,339,369,398,427,457,486,516,545,574,604,633,663,692,721,751,780,,,,,,,,,
78,344,375,405,436,466,497,528,558,589,619,650,680,711,741,772,802,,,,,,,,,
84,349,380,412,444,476,507,539,571,602,634,666,697,729,761,792,824,,,,,,,,,
90,354,387,420,452,485,518,551,584,616,649,682,715,748,780,813,846,,,,,,,,,
96,358,392,426,460,494,528,562,596,630,664,698,732,766,800,834,868,,,,,,,,,
102,363,398,433,468,503,538,573,609,644,679,714,749,784,819,854,889,,,,,,,,,
108,368,404,441,477,513,549,585,622,658,694,730,767,803,839,875,911,,,,,,,,,
114,373,410,447,485,522,559,597,634,671,709,746,784,821,858,896,933,,,,,,,,,
120,377,416,454,493,531,570,608,647,685,724,762,801,839,878,916,954,,,,,,,,,
126,383,422,462,501,541,581,620,660,699,739,779,818,858,898,937,977,,,,,,,,,
132,387,428,469,509,550,591,632,672,713,754,795,835,876,917,958,998,,,,,,,,,
138,392,433,475,517,559,601,643,685,727,769,810,852,894,936,978,1020,,,,,,,,,
144,396,439,482,525,568,611,654,697,740,783,826,869,912,955,998,1041,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:opallf,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,,,,,,,,,
24,314,335,355,376,397,417,438,459,479,500,521,541,562,583,604,624,,,,,,,,,
